iter	Passed	Remaining
300	5056	11742
301	5072	11723
302	5091	11713
303	5112	11704
304	5133	11698
305	5151	11684
306	5169	11669
307	5188	11656
308	5211	11653
309	5236	11655
310	5257	11648
311	5287	11659
312	5319	11675
313	5338	11663
314	5361	11658
315	5378	11642
316	5408	11653
317	5435	11658
318	5454	11643
319	5472	11628
320	5497	11629
321	5525	11633
322	5547	11626
323	5564	11610
324	5586	11603
325	5607	11593
326	5626	11579
327	5648	11572
328	5664	11552
329	5691	11554
330	5712	11544
331	5770	11611
332	5812	11643
333	5847	11659
334	5869	11650
335	5904	11669
336	5923	11652
337	5943	11640
338	5960	11622
339	5987	11621
340	6008	11612
341	6034	11609
342	6054	11597
343	6077	11589
344	6094	11571
345	6113	11554
346	6143	11560
347	6173	11567
348	6192	11550
349	6207	11529
350	6231	11521
351	6252	11509
352	6273	11498
353	6295	11487
354	6315	11475
355	6332	11455
356	6350	11438
357	6373	11429
358	6392	11413
359	6408	11393
360	6427	11377
361	6454	11375
362	6482	11376
363	6502	11361
364	6540	11379
365	6563	11370
366	6585	11359
367	6612	11356
368	6634	11345
369	6651	11325
370	6681	11327
371	6698	11308
372	6720	11296
373	6740	11282
374	6779	11299
375	6827	11330
376	6852	11323
377	6877	11316
378	6901	11308
379	6918	11287
380	6941	11277
381	6968	11273
382	6998	11274
383	7032	11280
384	7061	11280
385	7084	11269
386	7102	11250
387	7126	11241
388	7143	11219
389	7164	11205
390	7184	11190
391	7205	11175
392	7228	11164
393	7244	11141
394	7263	11125
395	7278	11101
396	7298	11085
397	7317	11068
398	7356	11080
399	7387	11081
400	7420	11085
401	7453	11087
402	7492	11099
403	7524	11099
404	7559	11106
405	7584	11096
406	7611	11089
407	7636	11081
408	7661	11070
409	7695	11073
410	7720	11064
411	7742	11050
412	7761	11031
413	7781	11013
414	7797	10992
415	7819	10977
416	7834	10953
417	7853	10934
418	7870	10912
419	7887	10891
420	7902	10868
421	7921	10849
422	7935	10825
423	7955	10807
424	7970	10783
425	7986	10760
426	8001	10738
427	8018	10716
428	8034	10694
429	8050	10671
430	8073	10658
431	8099	10649
432	8124	10638
433	8139	10615
434	8167	10607
435	8186	10589
436	8201	10566
437	8228	10558
438	8249	10542
439	8264	10518
440	8281	10497
441	8298	10476
442	8314	10454
443	8328	10429
444	8344	10407
445	8363	10388
446	8378	10365
447	8399	10349
448	8416	10328
449	8433	10307
450	8450	10286
451	8465	10263
452	8479	10239
453	8495	10217
454	8511	10195
455	8526	10171
456	8542	10149
457	8560	10130
458	8581	10114
459	8603	10100
460	8622	10081
461	8637	10058
462	8653	10037
463	8670	10015
464	8688	9996
465	8709	9979
466	8725	9959
467	8744	9940
468	8760	9918
469	8775	9896
470	8791	9873
471	8809	9854
472	8824	9831
473	8844	9815
474	8863	9796
475	8881	9776
476	8896	9754
477	8912	9732
478	8932	9716
479	8965	9712
480	8980	9690
481	8995	9667
482	9011	9645
483	9027	9624
484	9044	9604
485	9058	9580
486	9075	9559
487	9097	9545
488	9131	9542
489	9151	9525
490	9170	9506
491	9187	9486
492	9204	9466
493	9222	9446
494	9237	9424
495	9255	9404
496	9276	9388
497	9290	9365
498	9305	9342
499	9320	9320
500	9337	9300
501	9356	9281
502	9373	9261
503	9388	9239
504	9403	9217
505	9418	9194
506	9433	9172
507	9447	9149
508	9464	9129
509	9480	9108
510	9496	9087
511	9514	9068
512	9537	9054
513	9553	9033
514	9586	9027
515	9603	9007
516	9640	9006
517	9663	8992
518	9686	8976
519	9709	8962
520	9735	8950
521	9757	8934
522	9779	8919
523	9801	8903
524	9819	8884
525	9833	8861
526	9848	8839
527	9863	8817
528	9880	8796
529	9894	8774
530	9909	8752
531	9928	8733
532	9943	8712
533	9960	8691
534	9978	8673
535	9994	8652
536	10009	8629
537	10028	8612
538	10043	8590
539	10060	8569
540	10077	8550
541	10102	8536
542	10124	8521
543	10153	8510
544	10179	8498
545	10213	8492
546	10243	8483
547	10258	8461
548	10276	8442
549	10292	8421
550	10311	8402
551	10330	8384
552	10397	8404
553	10430	8397
554	10453	8381
555	10475	8365
556	10506	8356
557	10530	8341
558	10543	8318
559	10558	8295
560	10575	8275
561	10592	8255
562	10608	8233
563	10631	8218
564	10647	8197
565	10664	8177
566	10681	8157
567	10697	8135
568	10714	8116
569	10730	8094
570	10745	8073
571	10760	8051
572	10775	8030
573	10793	8010
574	10814	7992
575	10831	7973
576	10847	7952
577	10863	7931
578	10880	7911
579	10895	7889
580	10911	7869
581	10930	7850
582	10951	7833
583	10965	7811
584	10980	7789
585	10994	7767
586	11011	7747
587	11026	7726
588	11043	7705
589	11062	7687
590	11085	7671
591	11101	7650
592	11119	7631
593	11136	7611
594	11154	7592
595	11175	7575
596	11201	7561
597	11246	7560
598	11285	7555
599	11317	7544
600	11349	7534
601	11377	7521
602	11402	7506
603	11427	7491
604	11447	7473
605	11469	7456
606	11489	7438
607	11509	7420
608	11530	7402
609	11559	7390
610	11578	7371
611	11601	7355
612	11621	7337
613	11640	7317
614	11661	7300
615	11688	7286
616	11712	7270
617	11729	7250
618	11747	7230
619	11768	7213
620	11783	7191
621	11800	7171
622	11816	7150
623	11832	7129
624	11846	7108
625	11864	7088
626	11878	7066
627	11893	7044
628	11908	7023
629	11925	7003
630	11940	6982
631	11957	6962
632	11973	6942
633	11989	6921
634	12004	6900
635	12021	6880
636	12035	6858
637	12051	6837
638	12068	6818
639	12085	6797
640	12098	6776
641	12113	6754
642	12130	6735
643	12150	6716
644	12166	6696
645	12182	6675
646	12198	6655
647	12213	6634
648	12228	6613
649	12242	6592
650	12257	6571
651	12277	6553
652	12290	6530
653	12302	6508
654	12317	6487
655	12330	6466
656	12347	6446
657	12362	6425
658	12377	6404
659	12389	6382
660	12403	6361
661	12417	6340
662	12430	6318
663	12447	6298
664	12461	6277
665	12476	6257
666	12490	6235
667	12507	6216
668	12521	6195
669	12535	6174
670	12552	6154
671	12566	6133
672	12580	6112
673	12597	6093
674	12611	6072
675	12627	6052
676	12644	6032
677	12665	6015
678	12699	6003
679	12738	5994
680	12758	5976
681	12775	5956
682	12789	5936
683	12807	5917
684	12821	5896
685	12833	5874
686	12846	5852
687	12857	5830
688	12870	5809
689	12885	5789
690	12902	5769
691	12917	5749
692	12930	5728
693	12949	5709
694	12964	5689
695	12983	5671
696	13008	5655
697	13027	5636
698	13043	5616
699	13059	5596
700	13073	5576
701	13090	5556
702	13104	5536
703	13119	5516
704	13134	5495
705	13146	5474
706	13158	5453
707	13171	5432
708	13185	5411
709	13201	5392
710	13214	5371
711	13227	5350
712	13242	5330
713	13258	5310
714	13275	5291
715	13291	5271
716	13312	5254
717	13326	5234
718	13343	5214
719	13358	5194
720	13377	5176
721	13393	5157
722	13410	5137
723	13428	5119
724	13441	5098
725	13454	5078
726	13468	5057
727	13482	5037
728	13498	5017
729	13514	4998
730	13531	4979
731	13545	4959
732	13557	4938
733	13570	4917
734	13597	4902
735	13610	4882
736	13621	4860
737	13635	4840
738	13649	4820
739	13662	4800
740	13678	4781
741	13693	4761
742	13710	4742
743	13722	4721
744	13736	4701
745	13751	4682
746	13767	4662
747	13784	4643
748	13804	4625
749	13819	4606
750	13837	4587
751	13852	4568
752	13868	4549
753	13883	4529
754	13898	4510
755	13913	4490
756	13932	4472
757	13948	4453
758	13965	4434
759	13990	4418
760	14009	4399
761	14028	4381
762	14059	4367
763	14081	4349
764	14098	4330
765	14118	4312
766	14139	4295
767	14162	4278
768	14190	4262
769	14213	4245
770	14240	4229
771	14261	4211
772	14291	4196
773	14321	4181
774	14343	4164
775	14365	4146
776	14402	4133
777	14424	4116
778	14441	4097
779	14456	4077
780	14486	4062
781	14515	4046
782	14549	4032
783	14573	4015
784	14681	4020
785	14705	4003
786	14741	3989
787	14763	3971
788	14783	3953
789	14799	3934
790	14817	3915
791	14832	3895
792	14847	3875
793	14864	3856
794	14881	3837
795	14895	3817
796	14913	3798
797	14930	3779
798	14956	3762
799	14970	3742
800	14984	3722
801	14999	3703
802	15021	3685
803	15039	3666
804	15059	3647
805	15078	3629
806	15096	3610
807	15122	3593
808	15147	3576
809	15164	3557
810	15181	3537
811	15195	3518
812	15213	3499
813	15227	3479
814	15241	3459
815	15256	3440
816	15274	3421
817	15288	3401
818	15306	3382
819	15322	3363
820	15336	3343
821	15349	3323
822	15363	3304
823	15385	3286
824	15408	3268
825	15445	3253
826	15475	3237
827	15521	3224
828	15545	3206
829	15574	3189
830	15593	3171
831	15616	3153
832	15636	3134
833	15659	3116
834	15678	3098
835	15698	3079
836	15718	3061
837	15736	3042
838	15754	3023
839	15770	3003
840	15787	2984
841	15805	2965
842	15822	2946
843	15841	2928
844	15857	2908
845	15874	2889
846	15892	2870
847	15911	2852
848	15929	2833
849	15948	2814
850	15965	2795
851	15985	2776
852	16017	2760
853	16033	2741
854	16050	2722
855	16073	2704
856	16097	2686
857	16116	2667
858	16134	2648
859	16156	2630
860	16176	2611
861	16196	2592
862	16219	2574
863	16235	2555
864	16248	2535
865	16264	2516
866	16279	2497
867	16297	2478
868	16313	2459
869	16331	2440
870	16349	2421
871	16366	2402
872	16382	2383
873	16400	2364
874	16416	2345
875	16434	2326
876	16452	2307
877	16468	2288
878	16488	2269
879	16505	2250
880	16523	2231
881	16542	2213
882	16560	2194
883	16576	2175
884	16594	2156
885	16611	2137
886	16642	2120
887	16663	2101
888	16685	2083
889	16700	2064
890	16714	2044
891	16729	2025
892	16743	2006
893	16759	1987
894	16773	1967
895	16791	1949
896	16807	1930
897	16823	1910
898	16838	1891
899	16854	1872
900	16871	1853
901	16886	1834
902	16907	1816
903	16923	1797
904	16940	1778
905	16964	1760
906	16982	1741
907	17004	1722
908	17024	1704
909	17053	1686
910	17072	1667
911	17090	1649
912	17107	1630
913	17137	1612
914	17156	1593
915	17173	1574
916	17196	1556
917	17216	1537
918	17236	1519
919	17257	1500
920	17280	1482
921	17304	1463
922	17325	1445
923	17347	1426
924	17369	1408
925	17388	1389
926	17410	1371
927	17432	1352
928	17449	1333
929	17465	1314
930	17482	1295
931	17505	1277
932	17529	1258
933	17548	1240
934	17568	1221
935	17584	1202
936	17604	1183
937	17623	1164
938	17647	1146
939	17667	1127
940	17703	1109
941	17717	1090
942	17733	1071
943	17749	1052
944	17776	1034
945	17796	1015
946	17824	997
947	17843	978
948	17863	959
949	17880	941
950	17906	922
951	17925	903
952	17944	884
953	17961	866
954	17978	847
955	17998	828
956	18022	809
957	18041	790
958	18059	772
959	18078	753
960	18094	734
961	18110	715
962	18126	696
963	18140	677
964	18156	658
965	18173	639
966	18190	620
967	18205	601
968	18223	583
969	18239	564
970	18255	545
971	18271	526
972	18289	507
973	18304	488
974	18322	469
975	18337	450
976	18351	432
977	18368	413
978	18384	394
979	18399	375
980	18417	356
981	18436	337
982	18453	319
983	18473	300
984	18499	281
985	18520	262
986	18543	244
987	18569	225
988	18587	206
989	18603	187
990	18617	169
991	18635	150
992	18654	131
993	18669	112
994	18686	93
995	18704	75
996	18728	56
997	18743	37
998	18760	18
999	18778	0
