iter	Logloss
0	0.6432767097
1	0.6009048178
2	0.5659095584
3	0.5371544176
4	0.5089755702
5	0.4865474344
6	0.4673914031
7	0.4500178781
8	0.4367792011
9	0.4242605681
10	0.4148555961
11	0.4047350539
12	0.3965972245
13	0.3916872801
14	0.384108733
15	0.3779421906
16	0.3725813492
17	0.3693937334
18	0.3650126621
19	0.3611607514
20	0.3584624809
21	0.3548545167
22	0.3522210486
23	0.3494338093
24	0.3476210024
25	0.3450592966
26	0.3432128702
27	0.3411601254
28	0.3392326251
29	0.3374059212
30	0.3356704648
31	0.3341927954
32	0.3325206855
33	0.3310603497
34	0.3297238694
35	0.3287985881
36	0.3277525127
37	0.3265772563
38	0.3257594725
39	0.3248807043
40	0.3238858986
41	0.3231308981
42	0.3223669531
43	0.3214695209
44	0.3206591015
45	0.320007165
46	0.3192222244
47	0.3185137456
48	0.3179469195
49	0.3172600371
50	0.3168161328
51	0.3162318597
52	0.3155464403
53	0.3151709308
54	0.3146887727
55	0.3141448442
56	0.3137828199
57	0.3132098764
58	0.3123415401
59	0.3120076842
60	0.3116242868
61	0.3108886201
62	0.3103430671
63	0.3098793005
64	0.3094448739
65	0.3090291918
66	0.3085122692
67	0.3081732615
68	0.3078996785
69	0.3074591323
70	0.3071583233
71	0.3068796794
72	0.3066515382
73	0.3061307896
74	0.3058675849
75	0.305646378
76	0.3054258804
77	0.3048807347
78	0.3045747754
79	0.3041260027
80	0.303847697
81	0.3036591908
82	0.3033549909
83	0.3031387362
84	0.3028883927
85	0.302717566
86	0.3025641984
87	0.301701033
88	0.3015612426
89	0.301393929
90	0.3011629197
91	0.3009936124
92	0.3007843343
93	0.3006214914
94	0.3003290907
95	0.3001691432
96	0.2996827174
97	0.2994353074
98	0.2992745768
99	0.2991305979
100	0.2990114506
101	0.2988187302
102	0.2986173032
103	0.2984604558
104	0.2982490122
105	0.2980280795
106	0.297874859
107	0.2976588936
108	0.2972446323
109	0.296867141
110	0.2966765953
111	0.296490295
112	0.2962766995
113	0.2960681874
114	0.2958988282
115	0.2954989526
116	0.2953437651
117	0.2952384627
118	0.2951037209
119	0.2948200473
120	0.2947002668
121	0.2944703372
122	0.2943819026
123	0.294302082
124	0.293901427
125	0.2938143364
126	0.2937007509
127	0.2934345762
128	0.2933128551
129	0.2931547155
130	0.2930141382
131	0.2928401592
132	0.2927414445
133	0.2926320387
134	0.2924699826
135	0.2923767989
136	0.2922674294
137	0.2921867578
138	0.2920845919
139	0.2919712875
140	0.2918601257
141	0.2917081159
142	0.2916579976
143	0.2915548997
144	0.2914620774
145	0.2913200863
146	0.2912214975
147	0.2910863724
148	0.2910007556
149	0.2908851015
150	0.2907506577
151	0.290590956
152	0.2904284187
153	0.2903348324
154	0.2902203717
155	0.2900891288
156	0.2899905059
157	0.2896704399
158	0.2895844428
159	0.2894966748
160	0.2894175778
161	0.2892513242
162	0.2889793963
163	0.2888530981
164	0.2886974629
165	0.2886195852
166	0.2885510845
167	0.2884424772
168	0.28826892
169	0.2881729797
170	0.2880835013
171	0.287989055
172	0.2878792404
173	0.2877952773
174	0.2876889362
175	0.2876283791
176	0.287546075
177	0.287439963
178	0.2872669402
179	0.28717206
180	0.2870123629
181	0.2869382559
182	0.2868301334
183	0.2867443178
184	0.2866665395
185	0.2864661487
186	0.286337524
187	0.286231218
188	0.2861446188
189	0.2860589508
190	0.2859884488
191	0.2859311412
192	0.2858235232
193	0.2857350628
194	0.2854755298
195	0.2854296894
196	0.2853320374
197	0.2852766496
198	0.2852338802
199	0.2851729356
200	0.2850895366
201	0.2850055116
202	0.2849117597
203	0.2848350339
204	0.2847597453
205	0.2846915829
206	0.2846157839
207	0.2845576464
208	0.2844792018
209	0.2842346797
210	0.2839854023
211	0.2838763735
212	0.2838070835
213	0.2837318228
214	0.2836748482
215	0.2835249924
216	0.283443334
217	0.2833277088
218	0.2832652367
219	0.2831200259
220	0.2830356649
221	0.2829621078
222	0.2828837125
223	0.2827839361
224	0.2827105973
225	0.2825159326
226	0.282328871
227	0.2821286453
